description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
Z. P. SH. LINIC MENTHOL 12X400,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. DESO. REXONA FRESH 24X50,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. BALSAMO GLOSSY 12/390,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,GLOSSY,,,,,
NESQUIK CHOCOLATE  24X400 GR,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,NESQUIK,,,SABORIZANTES,,NESTLE CHILE S.A.
NESQUIK NUTRIB CHOCO 36X200 GR,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,NESQUIK,CHOCOLATE NUTRI ACTIV B,TARRO,SABORIZANTES,,NESTLE CHILE S.A.
Z. NESQUICK CHOC 6X6X140 GR,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,NESQUIK,,,,,NESTLE CHILE S.A.
REFRESCO CARICIA  PAPAYA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,,,EMPRESAS CAROZZI S.A.
REFRESCO CARICIA PIÑA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,JUGOS POLVO,,EMPRESAS CAROZZI S.A.
REFRESCO CARICIA FRUTILLA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,JUGOS POLVO,,EMPRESAS CAROZZI S.A.
REFRESCO CARICIA FRAMBUESA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,JUGOS POLVO,,EMPRESAS CAROZZI S.A.
REFRESCO CARICIA GUINDA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,,,EMPRESAS CAROZZI S.A.
Z. REFRESCO CARICIA LIMONADA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,,,EMPRESAS CAROZZI S.A.
Z. JUGO CARICIA LIQUIDO 24X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
CA.CARAMELO ARBOLITO 12X430GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,ARBOLITO,SURTIDO,BOLSA,CONFITES,CARAMELO SURTIDO ARBOLITO 430GR,EMPRESAS CAROZZI S.A.
Z. REFRESCO FLA-VOR-AID 4/25 NARANJA,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. REFRESCO ZUKO MANZAN.12X14X45 GRS.,ALIMENTOS,JUGOS POLVO,REFRESCOS,ZUKO,,,,,TRESMONTES S.A
Z. REFRESCO FLA-VOR-AID 4/25 PAPAYA,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. REFRESCO FLA-VOR-AID 4/25 PIÑA,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. REFRESCO AMBROSOLI DAMASCO 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,AMBROSOLI,,,,,EMPRESAS CAROZZI S.A.
Z. P. DESOD.COL.PROMOCION 6X140,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,SIN MARCA,,,,,COMERCIAL DAVIS S.A.
Z. REFRESCO ZUKO GUINDA 168X45 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,ZUKO,,,,,TRESMONTES S.A
Z. REFRESCO ZUKO LIMON 6X28X45 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,ZUKO,,,,,TRESMONTES S.A
Z. REFRESCO FLA-VOR-AID 4/25 MELON,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. REFRESCO BERRIE 12X14X45 GRS.,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,TRESMONTES S.A
REFRESCO YUPI DAMASCO 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI NARANJA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,NARANJA,SACHET,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI PAPAYA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,PAPAYA,SACHET,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI PIÑA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,PIÑA,SACHET,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI FRUTILLA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI FRAMBUESA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI GUINDA 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,JUGOS POLVO,,TRESMONTES S.A
REFRESCO YUPI LIMA LIMON 160X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,,,TRESMONTES S.A
Z. REFRESCO HIKORY DURAZNO SACHET 80X45,ALIMENTOS,JUGOS POLVO,REFRESCOS,HIKORY,,,,,TRESMONTES S.A
REFRESCO ZUKO DURAZNO 168X45 GR,ALIMENTOS,JUGOS POLVO,JUGOS,ZUKO,,,,,TRESMONTES S.A
F.CAROZZI NUTRINA 40X250 GR,ALIMENTOS,FIDEOS,PASTINAS,CAROZZI,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. MAYONESA CLICK DOYPACK 12*500,ALIMENTOS,MAYONESA,NORMAL,CLICK,,,,,UNILEVER BESTFOODS
Z. CAFE MONTERREY SOBRE 1000X2 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,MONTERREY,,,,,TRESMONTES S.A
Z. SOPAS MAGGI 10X1 CARNES Y CARACOLITO,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. MAYONESA CLICK 12X1000 CC,ALIMENTOS,MAYONESA,NORMAL,CLICK,,,,,UNILEVER BESTFOODS
Z. LAVALOZAS FUZOL SACHET18/80ML,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZAS,FUZOL,,,,,LABORATORIO BALLERINA LTDA.
Z. CECINAS PATE TERNERA LA PREFERIDA 160,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,SIN MARCA,,,,,CECINAS LA PREFERIDA S.A
TE EMBLEM CEYLAN TEA 50X20,ALIMENTOS,TE,TE,EMBLEM,CEYLAN,BOLSA,TE,TE CEYLAN EMBLEM 20GR,UNILEVER CHILE LIMITADA.
Z.TE CLUB BOLSA ETIQUETA ROJA 20X50BOLSA,ALIMENTOS,TE,BOLSITA,CLUB,,,DETERGENTES,,UNILEVER BESTFOODS
Z. TE CLUB BOLSA MANZANILLA 25X20,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,UNILEVER BESTFOODS
Z. L.POROTO HALLADO GRANADA 20X500,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,POROTOS,GRANADA,,,,,COMERCIAL CHACAO S A
Z. CECINAS VIENESAS LLANQUIHUE 5X250,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,SIN MARCA,,,,,MODINGER HERMANOS S.A.
MANTEQUILLA CALO 20X250,LACTEOS REFRIGERADOS Y CECINAS,MANTEQUILLAS Y MARGARINAS,MANTEQUILLAS,CALO,,POTE,REFRIGERADOS,MANTEQUILLA CALO 250GR,DIWATTS S.A
Z. TE CLUB BOLSA SILVESTRE,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,UNILEVER BESTFOODS
Z. SURTIDO HIERBAS SILVESTRES 10X50 BOLS,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,UNILEVER BESFOODS S.A.
Z. HELADO VIENNETTA MERENGE,LACTEOS REFRIGERADOS Y CECINAS,CONGELADOS,HELADOS,SIN MARCA,,,,,BRESLER ALIMENTOS S.A.
Z. MOSTAZA JANO 24X240 GR,ABARROTES BASICOS Y MASCOTAS,CONDIMENTOS,MOSTAZA,WASIL,,,,,AWSA S.A.
L. GARBANZO SIN  PIEL ARUBA 10X1,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,GARBANZOS,ARUBA,SIN PIEL,BOLSA,LEGUMBRES,,COMERCIAL CHACAO S A
L. ARVEJAS VERDES ARUBA 10X1,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,ARVEJAS,ARUBA,VERDE,BOLSA,LEGUMBRES,,COMERCIAL CHACAO S A
POROTO HALLADOS ARUBA 10X1 KILO,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,POROTOS,ARUBA,HALLADO,BOLSA,LEGUMBRES,,COMERCIAL CHACAO S A
Z. TE SAMBA ROJO BOLSITA 50X20,ALIMENTOS,TE,BOLSITA,SAMBA,,,,,PARRO ALVARIÐO Y CIA. LTDA.
AJI CREMA TRAVERSO 36X200,ABARROTES BASICOS Y MASCOTAS,CONDIMENTOS,AJI,TRAVERSO,,,,,TRAVERSO S.A
L. LENTEJAS 6 MM. 10X1 KILO,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,LENTEJAS,SIN MARCA,,,,,IMPORTADORA MEMO IQUIQUE LTDA.
Z. L. POROTOS CAMPO LINDO TORTOLA 10X1,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,POROTOS,CAMPO LINDO,,,,,COMERCIALIZADORA AUSTRAL TRADING SPA
YERBA MATE SUPREMA 1X5 KG.,ALIMENTOS,YERBA MATE,GRANEL,SUPREMO,,,YERBA MATE,,CAMBIASO HNOS. S.A.C.
Z. TE SAMBA CEYLAN F.SELECCI.50X20 BOLSI,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,PARRO ALVARIÐO Y CIA. LTDA.
Z. VIRUTILLA N°2 FINA BRILLASOL 25/1,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,BRILLASOL,,,,,CBC PLASTIC S.A.
Z. VIRUTILLA N°4 GRUESA BRILLASOL 25/1,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,BRILLASOL,,,,,CBC PLASTIC S.A.
Z. VIRUTILLA N°2 METALTEX 25/1,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,METALTEX,,,,,CBC PLASTIC S.A.
Z. VIRUTILLA N°4 METALTEX 25/1,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,METALTEX,,,,,CBC PLASTIC S.A.
Z. YERBA MATE 1 KILO 20/1,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,CAMBIASO HNOS. S.A.C.
Z. JALEA AURORA 32/50 PIÑA,ALIMENTOS,POSTRES PARA PREPARAR,JALEA,AURORA,PIÑA,CAJA,POSTRES PARA PREPARAR,,EMPRESAS CAROZZI S.A.
Z. JALEA AURORA 32/50 FRAMBUESA,ALIMENTOS,POSTRES PARA PREPARAR,JALEA,AURORA,FRAMBUESA,CAJA,POSTRES PARA PREPARAR,,EMPRESAS CAROZZI S.A.
JALEA AURORA 32/50 FRUTILLA,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,AURORA,,,POSTRES PARA PREPARAR,,EMPRESAS CAROZZI S.A.
JALEA AURORA 32/50 GUINDA,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,AURORA,,,POSTRES PARA PREPARAR,,EMPRESAS CAROZZI S.A.
Z. JALEA AURORA 32/80 LIMON,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,AURORA,,,POSTRES PARA PREPARAR,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 40/250 PEPITAS,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 40/250 GRANIZO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
FIDEO CAROZZI MARIPOSA N 93 40X250 GR,ALIMENTOS,FIDEOS,CORBATITAS,CAROZZI,CORBATITAS,BOLSA,FIDEOS,MARIPOSA N 93 CAROZZI 250GR,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 40/250 ESTRELLITAS,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 40/250 ALFABETO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. NESTUM PREBIO 5 CEREALS BSA 24X350 G,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTUM,,,,,NESTLE CHILE S.A.
Z. NESTUM PREBIO MAIZ BSA 24X350 GR,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTUM,,,,,NESTLE CHILE S.A.
Z. NESTUM PREBIO MIEL BSA 24X350 GR,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTUM,,,,,NESTLE CHILE S.A.
Z. NESTUM PREBIO AVENA BSA 24X350 GR,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTUM,,,,,NESTLE CHILE S.A.
Z. P. HIG.ELITE JUMBO DOBLE HOJA,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,SIN MARCA,,,,,CMPC TISSUE S.A.
Z. CALDO LUCCHETTI CEBOLLA DISPLAY CARNE,ALIMENTOS,CALDOS,TIRA,SIN MARCA,,,,,ITALPASTA S.A
Z. LECHE NESTLE 10X1 KILO (DESC),LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,NESTLE,,,,,NESTLE CHILE S.A.
Z. LECHE NESTLE 20X450,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,PURITA,,,,,NESTLE CHILE S.A.
Z. LECHE PURITA SUR 10/1000 GR.,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,LECHE SUR,,,,,NESTLE CHILE S.A.
Z. LECHE NATURAL CALO LT.TTP.12X1 31%,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,BLANCA,CALO,,,,,SOC. AGRICOLA Y LECHERA LONCO S.A.
Z. ACEITE GRANEL 1/206,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,SIN MARCA,,,,,DIWATTS S.A
Z. F.LUCHE.12X1000,ALIMENTOS,SALSAS DE TOMATE,SALSA TARRO,SIN MARCA,,,,,LUCCHETTI CHILE S.A.
Z. LIMPIADOR POETT 8*1800CC,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LIMPIA PISOS,POETT,,,,,CLOROX CHILE S.A.
Z. CERA PANES NUGGET CAOBA 577 GR.,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,
Z. CERA PANES NUGGET NATURAL 577 GRS.,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,
Z. P. JABON LE SANCY 60/200 LAVANDA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. SHAMPOO PLUSBELLE 12X750 CC,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,
Z. FIDEO SAN REMO GRANEL 10X1 KG,ALIMENTOS,FIDEOS,GUISOS,SAN REMO,,,,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 25/400 CARACOL,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. FIDEO CAROZZI FUSILLI ESPINACA 30X400,ALIMENTOS,FIDEOS,ESPECIALIDADES,CAROZZI,,,,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 25/400 ESPIRALES,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
Z. F.CAROZZI 25/400 MOSTACHOLI,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,EMPRESAS CAROZZI S.A.
FIDEO CAROZZI TALLARIN Nº87 25X400 GR,ALIMENTOS,FIDEOS,SPAGHETTI,CAROZZI,SPAGHETTI N°87,BOLSA,FIDEOS,SPAGHETTI N 87 CAROZZI 400GR,EMPRESAS CAROZZI S.A.
Z. REFRESCO CARICIA 24X200 GRS,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,JUGOS POLVO,,EMPRESAS CAROZZI S.A.
Z.FIDEO CAROZZI RIGATONI 25X400 GR,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. FIDEO PARMA 25/400 CANUTO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,,,
Z. M. JUREL ATLAS CABALLA 24X425,ALIMENTOS,CONSERVAS,PESCADOS,ATLAS,,,,,PESQUERA SAN JOSE S.A.
Z.JUREL NACIONAL ATLAS 24X425 GR,ALIMENTOS,CONSERVAS,JUREL,ATLAS,,LATA,CONSERVAS JURELES,JUREL ATLAS 425GR (1),ORIZON S.A.
ATUN DESMENUZADO ACEITE SAN JOSE 48X185,ALIMENTOS,CONSERVAS,ATUN,SAN JOSE,DESMENUZADO AL ACEITE,LATA,CONSERVAS ATUNES,ATUN DESMENUZADO AL ACEITE SAN JOSE 185GR,ORIZON S.A.
ATUN DESMENUZADO AGUA SAN JOSE 48X185 G,ALIMENTOS,CONSERVAS,ATUN,SAN JOSE,DESMENUZADO AL AGUA,LATA,CONSERVAS ATUNES,ATUN DESMENUZADO AL AGUA SAN JOSE 185GR,ORIZON S.A.
Z. M. CHOLGA NATURAL DITZEL 24X190,ALIMENTOS,CONSERVAS,MARISCOS,DITZEL,,,,,SOC. PESQUERA Y CONSERVERA EL ANCLA Y CI
ATUN LOMITO AGUA COLORADO 48X170 GR,ALIMENTOS,CONSERVAS,ATUN,COLORADO,LOMITO AL AGUA,LATA,CONSERVAS ATUNES,ATÚN LOMITO AL AGUA COLORADO 170GR,ORIZON S.A.
Z. M. SURTIDO CALDILLO DITZEL 24X190,ALIMENTOS,CONSERVAS,MARISCOS,DITZEL,,,,,SOC. PESQUERA Y CONSERVERA EL ANCLA Y CI
Z. M. CHORITO ACEITE DITZEL 24X190,ALIMENTOS,CONSERVAS,MARISCOS,DITZEL,,,,,
CREM CHANTILLY VACOOK 1/4 SCHT 48X30 GR,LACTEOS REFRIGERADOS Y CECINAS,CREMAS,CREMAS CHANTILLY,VANCOOK,CHANTILLY,SACHET,CREMAS,CREMA CHANTILLY VANCOOK 30GR,TRESMONTES S.A
REFRESCO YUPI DURAZNO 8X20 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,JUGOS POLVO,,TRESMONTES S.A
Z. REFRESCO YUPI POP LOLLY 8/20/20GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,YUPI,,,,,TRESMONTES S.A
Z. REFRESCO CARICIA  8/20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,,,EMPRESAS CAROZZI S.A.
Z. SURTIDO PARA CALDILLO SAN JOSE 48X190,ALIMENTOS,CONSERVAS,MARISCOS,SAN JOSE,,,,,PESQUERA SAN JOSE S.A.
Z. REFRESCO ROYAL 6X20X25,ALIMENTOS,JUGOS POLVO,REFRESCOS,SIN MARCA,,,,,NABISCO ROYAL CHILE S.A.
Z. JALEA AURORA 32/80 PAPAYA,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,SIN MARCA,,,,,
Z. DURAZNO MALLOA 24/590 MITADES,ALIMENTOS,CONSERVAS,FRUTAS,MALLOA,,,,,UNILEVER BESTFOODS
DURAZNO TROCITO EL VERGEL 24X425 GR,ALIMENTOS,CONSERVAS,FRUTAS,EL VERGEL,TROZOS,TARRO,CONSERVAS FRUTAS,DURAZNO FRUTAS TROZOS EL VERGEL 425GR,AGROFOODS CENTRAL VALLEY CHILE S.A.
DURAZNO MITAD WASIL 24X590 GR,ALIMENTOS,CONSERVAS,FRUTAS,WASIL,MITADES,TARRO,CONSERVAS FRUTAS,DURAZNO FRUTAS MITADES WASIL 590GR,DIWATTS S.A
DURAZNO MITAD EL VERGEL 24X590G,ALIMENTOS,CONSERVAS,FRUTAS,EL VERGEL,MITADES,TARRO,CONSERVAS FRUTAS,DURAZNO FRUTAS MITADES EL VERGEL 590GR,AGROFOODS CENTRAL VALLEY CHILE S.A.
Z. VINAGRE BLANCO 32/250,ABARROTES BASICOS Y MASCOTAS,CONDIMENTOS,VINAGRE,SIN MARCA,,,,,
Z. VINAGRE BLANCO 24/500,ABARROTES BASICOS Y MASCOTAS,CONDIMENTOS,VINAGRE,SIN MARCA,,,,,
Z. F.CAROZZI 25/400 CABELLO CORTO,ALIMENTOS,FIDEOS,GUISOS,SIN MARCA,,,FIDEOS,,EMPRESAS CAROZZI S.A.
FIDEO CAROZZI LASAGNA LISTA 20X340 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,CAROZZI,LASAÑA,CAJA,FIDEOS,,EMPRESAS CAROZZI S.A.
X. FIDEO CAROZZI NUTRINA 20X500 GRS,ALIMENTOS,FIDEOS,GUISOS,CAROZZI,,,FIDEOS,,EMPRESAS CAROZZI S.A.
REFRESCO CARICIA NARAN/PLATAN 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,,,,,EMPRESAS CAROZZI S.A.
Z. PAP. SER-ELITE LUNCH 60X36,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,SIN MARCA,,,,,CMPC TISSUE S.A.
Z.HARINA TODO USO 40 KILOS  SOMOL,ABARROTES BASICOS Y MASCOTAS,HARINAS,HARINA,CAROZZI,TODO USO,QUINTAL,HARINAS,,SOCIEDAD INDUSTRIAL KUNSTMANN S.A.
MAIZENA DROPA 10X10X100 GRS,ALIMENTOS,POSTRES PARA PREPARAR,MAIZENA,DROPA,SIN GLUTEN,CAJA,POSTRES PARA PREPARAR,MAIZENA EL POLVO SIN GLUTEN DROPA 100GR,UNILEVER CHILE LIMITADA.
Z. MAIZENA 10X1,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,SIN MARCA,,,,,UNILEVER BESTFOODS
Z. P. PASTA DENTAL ODONTINE 36/100 NORMA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. PASTA DENTAL ODONTINE 36/100 M.SUA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P. SHAMPOO LINIC 6X2X250 OFERTA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. ARVEJAS DOÑA CLARA 48 X 310,ALIMENTOS,CONSERVAS,VERDURAS,DONA CLARA,,,,,UNILEVER BESTFOODS
ARVEJITA CONSERVA DOS CABALLOS 48X310GR,ALIMENTOS,CONSERVAS,VERDURAS,DOS CABALLOS,,LATA,CONSERVAS VEGETALES,ARVEJITAS VERDURAS DOS CABALLOS 310GR,CONSERVERA PENTZKE S.A.
Z. OMO MATIC MULTIACC 36X200 GRS,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
DURAZNO TROCITOS  WASIL 24X590 GR,ALIMENTOS,CONSERVAS,FRUTAS,WASIL,CUBITOS,TARRO,CONSERVAS FRUTAS,DURAZNO FRUTAS CUBITOS WASIL 590GR,DIWATTS S.A
Z. DURAZNO CUBITOS MALLOA 24X590,ALIMENTOS,CONSERVAS,FRUTAS,SIN MARCA,,,,,UNILEVER BESTFOODS
Z. DETERGENTE DRIVE 84/180,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. D .DRIVE 36/400,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. OMO MULTIACCION SOFT 36X200 GRS,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
Z. RINSO PASEO EN EL CAMPO 36X200 GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
Z. RINSO PASEO EN EL CAMPO 20X1 KG,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,DETERGENTES RINSO,,UNILEVER CHILE LIMITADA.
Z. DRIVEMATIC 12/1300,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
Z-AMPOLLETA PHILIPS 10/100 W.,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,PHILLIPS,,,ILUMINACION,,PHILIPS CHILENA S.A.
Z. AMPOLLETA PHILIPS 10/60 W.,ASEO Y LIMPIEZA,ILUMINACION,AMPOLLETAS CLARAS,PHILLIPS,FRIA/CALOR CLARA/OPACA,CAJA,ILUMINACION,AMPOLLETA AMPOLLETAS CLARAS PHILLIPS 60W,PHILIPS CHILENA S.A.
Z. GELATINA SURTIDA 32/45 GR,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,SIN MARCA,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z. M.SARDINA AC.ARUBA 50X125 GRS.PERU,ALIMENTOS,CONSERVAS,MARISCOS,ARUBA,,,,,COMERCIAL CHACAO S A
Z. CERA PARQUETINA SACHET 10/450 INCOLOR,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,BOLSAS BASURA,SIN MARCA,,,,,RECKITT BENCKISER CHILE S.A.
Z. LECHE SANCOR 12X1 LTS,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,BLANCA,SANCOR,,,,,IMPORTADORA CAFE DO BRASIL S.A.
Z. ARROZ MISSI G°1 ETI.NEGRA 10X1,ABARROTES BASICOS Y MASCOTAS,ARROZ,CORTO G‹1,SIN MARCA,,,,,
Z. ARROZ BANQUETE ESC.G.2 LARGO 10X1,ABARROTES BASICOS Y MASCOTAS,ARROZ,LARGO G‹2,BANQUETE,,,,,EMPRESAS TUCAPEL S.A.
ARROZ TUCAPEL GRAN SEL LAM G°1 10X1 KG,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,TUCAPEL,NACIONAL G1,BOLSA,ARROZ,ARROZ  BLANCO NACIONAL G1 TUCAPEL 1KG,EMPRESAS TUCAPEL S.A.
Z. BRISA 3 84/,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,,,
Z. BRISA 3 36/400,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,,,
